Seq,Subject ID,Action,Share,PathRoot,PathMid,PathTail,fileName,fileType,Bytes,Start Hr,Start Min,Start Sec,Finish Hr,Finish Min,Finish Sec
31,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Intel,EMPTY,EMPTY,7183,7,16,37.733,7,16,38.538
32,222,OPENMS,PUBLIC,Users,john:ConvoyPlanning:,Intel,intel_update_11-21-11.ppt,.ppt,21855,7,16,39.793,7,16,50.158
33,222,WRITE,PUBLIC,Users,john:ConvoyPlanning:,Intel,intel_update_11-21-11.ppt,.ppt,59878,7,17,3.9,7,17,4.487
34,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,.~lock.intel_update_11-21-11.ppt#,.ppt#,11661,7,17,13.339,7,17,13.732
35,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,notify.py,.py,10392,7,17,17.407,7,17,17.427
36,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,notify.py,.py,2157,7,17,17.428,7,17,17.44
37,222,CHANGE_DIR,PUBLIC,Users,,Users,EMPTY,EMPTY,55729,7,17,45.283,7,17,48.001
38,222,CHANGE_DIR,PUBLIC,Users,,john,EMPTY,EMPTY,40992,7,17,51.322,7,17,52.41
39,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,SITREPs,3.12SITREP-11-17-11.pdf,.pdf,21033,7,17,56.755,7,17,57.467
40,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,12319,7,18,7.55,7,18,9.676
41,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Intel,EMPTY,EMPTY,10550,7,18,10.637,7,18,12.587
42,222,WRITE,PUBLIC,Users,john:ConvoyPlanning:,Intel,intel_update_11-21-11.ppt,.ppt,78442,7,18,33.309,7,18,33.981
43,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Intel,EMPTY,EMPTY,1148,7,18,33.977,7,18,34.185
44,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,.~lock.intel_update_11-21-11.ppt#,.ppt#,11252,7,18,36.663,7,18,37.054
45,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,portal.html,.html,1946,7,18,37.252,7,18,37.276
46,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,notify.py,.py,10605,7,18,42.186,7,18,42.206
47,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,notify.py,.py,2157,7,18,42.207,7,18,42.223
48,222,CHANGE_DIR,PUBLIC,Users,,Users,EMPTY,EMPTY,57521,7,19,16.583,7,19,18.225
49,222,CHANGE_DIR,PUBLIC,Users,,john,EMPTY,EMPTY,41420,7,19,21.361,7,19,23.592
50,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,SITREPs,3.12SITREP-11-17-11.pdf,.pdf,20426,7,19,28.544,7,19,29.136
51,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,11423,7,19,29.709,7,19,30.64
52,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Intel,EMPTY,EMPTY,9989,7,19,31.312,7,19,33.147
53,222,WRITE,PUBLIC,Users,john:ConvoyPlanning:,Intel,intel_update_11-21-11.ppt,.ppt,79834,7,19,54.398,7,19,54.986
54,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,.~lock.intel_update_11-21-11.ppt#,.ppt#,12361,7,19,59.962,7,20,0.368
55,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,notify.py,.py,10392,7,20,3.538,7,20,3.553
56,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,notify.py,.py,2157,7,20,3.554,7,20,3.566
57,222,CHANGE_DIR,PUBLIC,Users,,Users,EMPTY,EMPTY,55729,7,20,32.302,7,20,34.163
58,222,CHANGE_DIR,PUBLIC,EMPTY,,EMPTY,EMPTY,EMPTY,472,7,20,34.163,7,20,34.365
59,222,CHANGE_DIR,PUBLIC,Users,,john,EMPTY,EMPTY,40756,7,20,36.92,7,20,38.079
60,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,SITREPs,3.12SITREP-11-17-11.pdf,.pdf,20854,7,20,40.202,7,20,40.765
61,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,9678,7,20,42.919,7,20,43.073
62,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Intel,EMPTY,EMPTY,10357,7,20,44.016,7,20,45.949
63,222,WRITE,PUBLIC,Users,john:ConvoyPlanning:,Intel,intel_update_11-21-11.ppt,.ppt,79386,7,21,7.135,7,21,7.709
64,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,.~lock.intel_update_11-21-11.ppt#,.ppt#,10538,7,21,10.565,7,21,10.731
65,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,portal.html,.html,1946,7,21,10.95,7,21,10.963
66,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,notify.py,.py,10353,7,21,16.022,7,21,16.04
67,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,notify.py,.py,2118,7,21,16.041,7,21,16.053
68,222,CHANGE_DIR,PUBLIC,Users,,Users,EMPTY,EMPTY,55768,7,22,10.954,7,22,14.716
69,222,CHANGE_DIR,PUBLIC,Users,,john,EMPTY,EMPTY,40992,7,22,17.082,7,22,18.222
70,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,SITREPs,3.12SITREP-11-17-11.pdf,.pdf,20221,7,22,20.364,7,22,20.996
71,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Trucks,EMPTY,EMPTY,9678,7,22,25.382,7,22,25.535
72,222,CHANGE_DIR,PUBLIC,Users,john:ConvoyPlanning:,Intel,EMPTY,EMPTY,10357,7,22,26.575,7,22,28.25
73,222,LIST_DIR,PUBLIC,Users,john:ConvoyPlanning:,Intel,EMPTY,EMPTY,39823,7,22,48.7,7,22,48.91
74,222,LIST_DIR,PUBLIC,Users,john:ConvoyPlanning:,Intel,EMPTY,EMPTY,784,7,22,48.706,7,22,48.91
75,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,intel_update_11-21-11.ppt,.ppt,48522,7,22,52.467,7,22,52.923
76,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,notify.py,.py,10353,7,22,56.402,7,22,56.421
77,222,OPEN,PUBLIC,Users,john:ConvoyPlanning:,Intel,notify.py,.py,2157,7,22,56.422,7,22,56.435
